timestamp,latitude,longitude,speed,accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,pothole
1493003563,40.44752577,-79.94419306,0,0.217666626,-0.980041504,0.158340454,0.032959548,0.048733984,0.107899303,No
1493003563,40.44752577,-79.94419306,0,0.011352539,-0.946929932,0.212097168,0.023599336,-0.087375652,0.017526529,No
1493003563,40.44752577,-79.94419306,0,0.023651123,-0.956954956,0.208114624,-0.009586581,0.00538145,0.003086604,No
1493003563,40.44752578,-79.94419306,0,0.061080933,-0.956085205,0.201461792,-0.014854314,0.001159807,-0.003353719,No
1493003563,40.44752578,-79.94419306,0,0.070159912,-0.956466675,0.194503784,-0.012799419,-0.00098031,0.000937699,No
1493003564,40.44752578,-79.94419306,0,0.061965942,-0.952270508,0.196853638,-0.012831376,-0.005234976,0.000948352,No
1493003564,40.44752578,-79.94419306,0,0.070007324,-0.952316284,0.196289063,-0.011765313,-0.003114301,0.002020008,No
1493003564,40.44752578,-79.94419306,0,0.054046631,-0.957733154,0.198165894,-0.011682755,7.56E-05,-0.002252235,No
1493003564,40.44752579,-79.94419306,0,0.06741333,-0.959884644,0.198181152,-0.012815397,-0.003107643,0.000943025,No
1493003564,40.44752579,-79.94419306,0,0.057479858,-0.955154419,0.197616577,-0.013857492,-0.002037318,-0.00013662,No
1493003565,40.44752579,-79.94419306,0,0.070510864,-0.95425415,0.196487427,-0.011713381,-0.002051433,-0.001180846,No
1493003565,40.44752579,-79.94419306,0,0.061737061,-0.957946777,0.197143555,-0.010700581,-0.003121225,0.002030927,No
1493003565,40.44752579,-79.94419306,0,0.07850647,-0.94367981,0.255203247,-0.007454454,-0.00207913,-0.00113717,No
1493003565,40.44752579,-79.94419306,0,0.066833496,-0.934005737,0.271774292,-0.003179548,2.05E-05,-0.00109882,No
1493003565,40.4475258,-79.94419306,0,0.075149536,-0.933135986,0.271102905,-0.017957962,0.00543418,-0.007661382,No
1493003566,40.4475258,-79.94419306,0,0.071853638,-0.943603516,0.263076782,-0.013637782,0.009660617,-0.009760485,No
1493003566,40.4475258,-79.94419306,0,0.065322876,-0.96031189,0.199691772,-0.021469073,-0.00943265,0.007268033,No
1493003566,40.4475258,-79.94419306,0,0.058868408,-0.959655762,0.149475098,-0.023478694,-0.005165734,0.000839162,No
1493003566,40.44754292,-79.94419399,0.239999995,0.059234619,-0.96786499,0.152862549,-0.008509865,0.00111906,-9.00E-05,No
1493003566,40.44754292,-79.94419399,0.239999995,0.060638428,-0.970932007,0.166183472,-0.023336215,0.000150735,-0.006636597,No
1493003567,40.44754292,-79.94419399,0.239999995,0.05569458,-0.967895508,0.178817749,-0.006333796,0.005359612,-0.001144893,No
1493003567,40.44754292,-79.94419399,0.239999995,0.05809021,-0.957504272,0.158966064,-0.01381355,-0.002038117,-0.00333481,No
1493003567,40.44754292,-79.94419399,0.239999995,0.061141968,-0.956863403,0.152145386,-0.014931545,-0.00522166,-0.001205613,No
1493003567,40.44754292,-79.94419399,0.239999995,0.055007935,-0.966201782,0.155517578,-0.012794092,-0.004171842,-0.001186438,No
1493003567,40.44754234,-79.94419396,0.25999999,0.064559937,-0.96723938,0.164916992,-0.019051988,0.005441637,-0.005540174,No
1493003568,40.44754234,-79.94419396,0.25999999,0.065994263,-0.957839966,0.198165894,-0.010550113,0.00325891,-0.005447496,No
1493003568,40.44754234,-79.94419396,0.25999999,0.067443848,-0.95375061,0.192962646,-0.017066335,-0.002016279,0.000896686,No
1493003568,40.44754234,-79.94419396,0.25999999,0.06640625,-0.946182251,0.20980835,-0.009643839,-0.004191816,0.002044509,No
1493003568,40.44754234,-79.94419396,0.25999999,0.063140869,-0.962081909,0.189102173,-0.013865482,-0.003100985,-0.000133957,No
1493003568,40.44754294,-79.944194,0,0.064788818,-0.953109741,0.200622559,-0.014922224,-0.002030394,-0.000147539,No
1493003569,40.44754294,-79.944194,0,0.066467285,-0.949661255,0.195022583,-0.00956927,-0.002065548,-0.002225071,No
1493003569,40.44754294,-79.944194,0,0.080688477,-0.929397583,0.267074585,0.003124953,-0.005338573,0.002178199,No
1493003569,40.44754294,-79.944194,0,0.082336426,-0.934616089,0.299957275,-0.006442986,-0.005276521,0.001013865,No
1493003569,40.44754294,-79.944194,0,0.085128784,-0.919540405,0.331604004,-0.010647318,6.92E-05,-0.00010919,No
1493003569,40.44754295,-79.944194,0,0.084350586,-0.927642822,0.317321777,-0.020106067,-0.000934503,-0.009799368,No
1493003570,40.44754295,-79.944194,0,0.092697144,-0.920791626,0.317321777,-0.008417986,-0.004201669,-0.009671269,No
1493003570,40.44754295,-79.944194,0,0.084869385,-0.918640137,0.323303223,-0.012656939,0.004336159,-0.00653806,No
1493003570,40.44754295,-79.944194,0,0.081222534,-0.911941528,0.366729736,0.00323148,0.001042361,-0.002102033,No
1493003570,40.44754295,-79.944194,0,0.087387085,-0.910705566,0.368362427,-0.007638212,-0.01484153,0.005291168,No
1493003570,40.44751231,-79.94419233,0.569999993,0.101135254,-0.913452148,0.357620239,-0.021216073,0.00864755,-0.001305748,No
1493003571,40.44751231,-79.94419233,0.569999993,0.081115723,-0.916687012,0.354385376,-0.009665144,-0.003127616,0.004173972,No
1493003571,40.44751231,-79.94419233,0.569999993,0.088912964,-0.895111084,0.365234375,-0.005386243,0.005354818,0.007394533,No
1493003571,40.44751231,-79.94419233,0.569999993,0.084350586,-0.926727295,0.358093262,-0.017533187,0.040532247,-0.019475963,No
1493003571,40.44751231,-79.94419233,0.569999993,0.102706909,-0.890090942,0.346008301,-0.02612561,0.026759443,-0.021660821,No
